Sentiment,Transcript
1,"And here in Washington, we know distraction. Can you comment on the specific allegations though? Nick. Nick. Nick. Nick is. Nick is the man. I'm sorry. Nick is the man. I gotta let Nick do what he does here. That's his job, so ok guys. Would you like to see more participate in more? I'm not going to get into scheduling. I'm just going to show up when I'm told to show up. I'll be there looking forward to it. Will you sign this please? If you go to the. Go to the end of the line. Why don't you go to the end of the line? Yeah, we'll take care of you."
0,"and I was a Republican forAir every one of them. I was rationalizing Donald Trump's behaviors until... I heard that tape, that was the last straw. I don't want my granddaughter thinking it's okay to be... treated that way, and my grandson growing up thinking... that's how you should treat women. That scares me, that scares me a lot. So Hillary's got my vote. We don't see eye to eye on everything, but she's strong, and I respect her. And she's someone that my grandkids can respect too. Im Hillary Clinton and I approve this message."
1,"restaurant hat a neighborhood favorite - a place for a good, family meal. She juggled customers, cooks, waitresses - and never complained. My dad was a police officer walking his beat. I learned from both what it means to be honest, to work hard, and love family. Big banks, Wall Street, special interests - that's who Pat Toomey's with. In the Senate, I'll work for you and your family. I'm Katie McGinty, and I approve this message."
0,">> ACCUWEATHER IS COMING UP. of her...wherever. He is not a person who is equipped in temperament, judgment or character to lead our troops. Donald Trump has created a toxic atmosphere pitting one group against another. He's a Mexican. Claiming a person can't do the job because of their race is sort of like the textbook definition of a racist comment. Priorities USA Action is responsible for the content of this advertising."
0,"VO: Donald Trump and Pat Toomey anhave plenty in common --. they're BOTH putting Pennsylvania women at risk. Even after Trump bragged about sexually assaulting women, Toomey stood by him. On women's health - Both Trump and Toomey would defund Planned Parenthood. On abortion: TRUMP: ""There has to be some form of punishment"" TOOMEY: ""I would suggest that we have penalties for doctors who perform them."" Pat Toomey and Donald Trump: Too dangerous for Pennsylvania women."
1,"LET'S ROLL THE TAP. >> I MOVED ON HER, YOU KNOW, SHE WAS DOWN IN PALM BEACH. I MOVED ON HER AND I FAILED. I'LL ADMIT IT. I DID TRY TO [ BLEEP ] HER. SHE WAS MARRIED. I MOVED ON HER VERY HEAVILY. IN FACT I TOOK HER OUT FURNITURE SHOPPING, I SAID I'LL SHOW YOU WHERE THEY HAVE NIGHT FURNITURE. I MOVED ON HER LIKE A BITCH. I COULDN'T GET THERE. SHAEND WAS MARRIED. AND NOW SHE'S GOT THE BIG PHONY TITS AND EVERYTHING SHE'S TOTALLY CHANGED HER LOOKS. >> SHE'S HOT AS HIT. YES. YOU GOT TO LOOK AT ME WHEN YOU DO THE THUMB'S UP. YOU GOT TO GIVE THE THUMB'S UP. >> YOU AND I WILL WALK OVER THERE. >> MAYBE IT'S A DIFFERENT ONE. >> BETTER NOT BE. >> YEAH IT'S HER. >> YEAH IT'S HER. I GOT TO GET SOME TIC-TACs IN CASE I START KISSING HER. I'M AUTOMATICALLY ATTRACTED TO BEAUTIFUL WOMEN. I WANT TO START KISSING. WHEN YOU'RE A STAR YOU CAN DO ANYTHING. GRAB"
1,"V/O: She works hard. She stays late. But she gets paid 21% less than her male coworkers. Pat Toomey has voted time after time against equal pay for women, against pay that helps hard working families get ahead. KATIE O/C: For my daughters and yours, I'll fight for equal pay for women. Families need it; you've earned it. KATIE V/O: I'm Katie McGinty, and I approve this message because it's your turn to get ahead."
1,"IThere's a race going on right approve tnow.message. The world's clean energy super power's either going to be Germany, China, or us. And I'm going to make sure it's us. From 500 million solar panels installed by the end of my first term, to precision manufacturing. We'll beat the competition and create new high wage jobs. We can do this, millions of jobs right here in America. That's my plan."
0,"m HDonald Trump: I could stand in the middle of 5th avenue I approve this message. and shoot somebody and I wouldn't lose any voters, okay? And you can tell them to go F--- themselves! You know, you could see there was blood coming out of her eyes, blood coming out of her wherever... You gotta see this guy. Ahh, I don't know what I said, Ahh. ""I don't remember."" He's going like ""I don't remember!"""
1,and I approve this message. How do we make the economy work for everyone? Hillary Clinton's plan starts here... By making big corporations and those at the top finally pay their fair share in taxes. And those companies that move overseas? She'd charge them an exit tax. Then she'd use that money to make the largest investment in creating good paying jobs since World War II. Millions of jobs. You can read the plan here.
1,yeah skilled craftsmen the trades people and factory workers I have seen the jobs they love ship thousands of miles away it doesn't have to be this way we could turn it around it will be American steel just like the American steel that built the Empire State Building that will fortify America's crumbling bridges it will be American steel and rebuilds our inner cities will be American steel it sends our skyscraper soaring it will be American hands american workers that we make this country we're going to be working again we're going to have great jobs again we're going to make America great again for everyone greater than ever before rebuilding America now packaged responsible for the content of this message
0,"Mika Brzezinski: ""Are you going to have a to do what we have to do."" massive deportation force?"" Trump: ""You're going to have a deportation force."" Mi familia ha estado aquí desde 1731, antes de que fueran los Estados Unidos. Mi papá no quería que fuera a la segunda guerra... en ese tiempo había tanta discriminación. Yo quería servir porque yo fui nacido en los Estados Unidos, y era mi derecho. A los 8 años nos mudamos a los Estados Unidos. Mi mamá lo dejó todo para darle una nueva oportunidad a mi hermana y a mi. Hillary Clinton: ""As I look at American history, I see that this has always been a country of we, not me. We stand together because we are stronger together."" En nuestras historias hay un espíritu, una lucha, más fuerte que el odio. Más fuerte que Trump. Y los próximos capítulos serán escritos con nuestra voz, con nuestro voto. Hillary Clinton: Soy Hillary Clinton and I approve this message."
0,"We remember what Democrat Congresswoman Ann Kirkpatrick did to Arizona. First, she voted for Obamacare. Then, she walked out on her constituents at a town hall meeting because of her vote. Democrat Ann Kirkpatrick brags about her Obamacare vote. It's also the one I'm most proud about. Now, Arizona's insurance rate hikes are twice the national average. We are losing health care choices with more than half of Arizona counties left with only one option. But even after the Obamacare disaster she says she'd do it all again. We can't afford more failed Obama/Kirkpatrick policies."
1,Meet Ted Budd. Raised on a Davie County Farm. Still lives there. Husband. Father. Homeschooler. Business degree from Wake Forest. Runs his own successful small business and gun range. Conservative. Never run for office before. Knows nothing will change in Washington unless those with a heart for service step forward. Ted Budd for Congress. Club for Growth action is responsible for the content of this advertising.
0,"Welcome to the focus group. Let's start with a few questions. What would you like on your cheesesteak? Cheez Whiz or Silly String? Cheez Whiz. Which do you prefer on your sandwich? Ham or hamster? Would you prefer this bipartisan leader with a record of fighting for small businesses and putting people before politics, or this partisan political operative who fought for higher taxes on Pennsylvania families? No. The choice is so clear. It has to be Pat Toomey. Toomey for sure. The U.S. Chamber is responsible for the content of this advertising."
,"I'm Gina Bonaminio and I'm a recovering heroin addict. When I was 11 I started drinking. Then I moved onto prescription medications. By 18 I was addicted to heroin. And I'm not alone. Fortunately leaders like Rob Portman are bringing Republicans and Democrats together, passing important legislation and giving hope to people like me. Rob Portman is making a difference. I'm Rob Portman and I approve this message."
,Maggie Hassan. A 100 ways to make you pay. You've gotta hand it to Maggie Hassan. She sure can get creative. When it comes to making you pay for her spending. Maggie Hassan. A 100 ways to make you pay. Maggie Hassan. More spending for her. Less money for you. The U.S. Chamber of Commerce is responsible for the content of this advertising.
,"Since we have some dire foreign policy issues around the world right now, who are you consulting with so that you're ready on day one? I'm speaking with myself number one because I have a very good brain and I've said a lot of things."
,"Coming from a family, ninth of ten kids, the first of my family to go to college. So off to college you went? I did. The first of my family to go to college. And even though I was number nine I was the very first one to go to college in my family. This is where I come from. As ninth of 10 kids. My dad a police officer. And I was the first of my family to go to college."
,"So much of what we are fighting for, what NARAL stands for, is the very simple proposition that all women deserve to have their rights respected. All women deserve to have access to the health services and choices they are entitled to. It should not be that some, who are fortunate economically, can access their rights, while all others are left behind. When I talk like this, the Republicans always seem to find a way to say that I'm playing the gender card. If fighting for equal pay and paid family leave and women's reproductive health care is playing the gender card, just deal me in and let's get it on. We all need a champion in the White House. And not just someone who says the right things, but someone who does them as well. Who will stand up to each and every attack, and who will do everything she can to protect reproductive rights."
,"How many people in this room have had drug addiction affect their families or their friends or their co-workers? Just just raise your hand. Congress is trying to get police some money to help fight the heroin epidemic. It's called CARA, the Comprehensive Addiction and Recovery Act. Raise your hand. Those of who don't have your hand up look around the room. If this isn't epidemic levels I don't know what is. Senator Rob Portman has been working on a bill to fight heroin for months. The Comprehensive Addiction and Recovery Act. More people are dying from heroin and prescription drug overdoses than any other cause of death. It focuses on giving treatment to addicts. Second, it launches treatment programs. In preventing people from getting hooked in the first place. I'm I'm hopeful that this legislation cannot only help states, local government and nonprofits to do a better job, but can begin to actually turn this around. The final thing I'll say about it is there is hope. The solution is the prevention. Education. Get these people into treatment and get their lives back together."
,"This feminist voted to cut veterans benefits and to gut the military budget. She sponsored a tax increase in the radical E.R.A and voted to let homosexuals pretend they're married. She's a RINO who voted to fund Obamacare and to raise the debt ceiling twice to pay for abortions in D.C. and to fund Planned Butcherhood. She's pro-amnesty and voted to let convicted alien child molesters stay in America. And you know, as a Republican you can be a RINO. RINO. RINO. I'm Kay Daly and this is my message. I'm hunting RINOs. Care to join me?"
,When child care costs more than your rent. You give 'em Hill.
,Mass shootings. Daily gun violence. But Congress won't act. Now there's good news. New action tightens the loophole that allowed criminals to get guns without a background check. Most Americans. Most gun owners. Most Republicans and Democrats. Even those favorable to the NRA support this action to make our country safer. Keep speaking up for common sense solutions to gun violence. It's working.
,"I think someone deserved to be fired. Veterans were dying just waiting for care at the VA. And Walter Jones is part of the problem. It's a mess that still has to be fixed. He voted against more doctors, more nurses, more options. Walter Jones voted to protect the people who made a mess of the VA. He broke his promise to you. I never will. I'm Taylor Griffin and I approve this message."
